UBIGEO,DEPARTAMENTO,PROVINCIA,Distrito,Zona,Latitud,Longitud,cobertura_cell,Educ_sec_comp,esp_vid_nacer,Ing_fam_p_cap,NBS_2017,No_Pobreza,Tasa_docen_pub,DepaProvDis,cobertura_cell_std,Educ_sec_comp_std,esp_vid_nacer_std,Ing_fam_p_cap_std,NBS_2017_std,No_Pobreza_std,Tasa_docen_pub_std,cobertura_cell_decil,Educ_sec_comp_decil,esp_vid_nacer_decil,Ing_fam_p_cap_decil,NBS_2017_decil,No_Pobreza_decil,Tasa_docen_pub_decil
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,X,-6.2294,-77.8714,87.5,79.56270499773225,72.19267446694317,1259.1302441074904,88.0,90.965375,200.54163381440472,AMAZONAS+CHACHAPOYAS+CHACHAPOYAS,1.379945554550179,1.5131832788281279,-0.28452386604634305,1.8365289028132945,1.453801461740307,1.4856215618651505,0.09746181273670866,9,9,7,7,9,9,2
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,X,-6.0317,-77.7122,11.111111111111114,71.00683150377321,71.36455274669044,561.1026337230529,26.599999999999994,63.480050999999996,138.88888888888889,AMAZONAS+CHACHAPOYAS+ASUNCION,-1.1239989105563104,0.9690524080436487,-0.4429232067561219,-0.07584233596947372,-1.9028075264208772,-0.1407003548052517,0.72712570958968,2,8,7,3,3,6,2
10103,AMAZONAS,CHACHAPOYAS,BALSAS,X,-6.8375,-78.0214,32.14285714285714,32.772383770972255,68.5944049111095,415.0210470319895,62.2,54.267038,188.56447688564478,AMAZONAS+CHACHAPOYAS+BALSAS,-0.43460121366984855,-1.4625571001499789,-0.9727844337877272,-0.4760589187345638,0.0433696719266501,-0.6858394610595323,0.21978537374106813,4,3,6,2,7,5,2
10104,AMAZONAS,CHACHAPOYAS,CHETO,X,-6.2558,-77.7003,6.25,52.210905517480306,77.52825245732767,398.663339100127,72.7,60.830218,287.6480541455161,AMAZONAS+CHACHAPOYAS+CHETO,-1.283340831063087,-0.22631865270700005,0.7360411249607448,-0.5208737795164662,0.6173826096415106,-0.2974924480480482,-0.7921622929355268,1,6,8,2,8,6,3
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,X,-6.0778,-77.7392,30.232558139534888,36.86893174234378,72.4601514868895,325.93053088503234,40.9,46.95433799999999,101.89228529839883,AMAZONAS+CHACHAPOYAS+CHILIQUIN,-0.49721873155291,-1.202027509986376,-0.23336208320893123,-0.7201382906578598,-1.121056573152067,-1.1185359895791038,1.1049746701713437,4,4,7,2,5,4,1
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,X,-6.9333,-77.8575,37.5,30.431499215902807,67.01416143046922,267.38750299093635,64.0,48.392168,285.85271317829455,AMAZONAS+CHACHAPOYAS+CHUQUIBAMBA,-0.2589999135195232,-1.6114311516720377,-1.2750461899676704,-0.8805273656892427,0.14177188982062602,-1.033458788326311,-0.773826347131877,4,3,5,2,7,4,3
10107,AMAZONAS,CHACHAPOYAS,GRANADA,X,-6.0997,-77.6344,8.333333333333343,25.709370027228236,66.18183564267636,766.8057163809906,64.0,56.13404299999999,369.39313984168865,AMAZONAS+CHACHAPOYAS+GRANADA,-1.2150514365601826,-1.911746048707915,-1.4342496655170116,0.48771797762233493,0.14177188982062602,-0.5753677362207342,-1.627030704232,1,2,5,4,7,5,4
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,X,-6.1747,-77.8686,57.142857142857146,65.35856081597308,73.06259823842711,525.798289065862,83.5,68.022688,60.19563581640331,AMAZONAS+CHACHAPOYAS+HUANCAS,0.3848715203650028,0.6098373670604996,-0.11812881988239762,-0.17256489009495043,1.207795917005367,0.12809000446349467,1.5308255358589113,6,7,7,3,9,7,1
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,X,-6.4825,-77.8192,32.0,42.662944342736665,73.09450199987279,305.7147008552298,61.3,52.052277000000004,246.689642662797,AMAZONAS+CHACHAPOYAS+LA JALCA,-0.43928391500719044,-0.833543669754982,-0.11202641409401323,-0.7755231656140572,-0.0058314370203382485,-0.8168881019446407,-0.37385110477555206,4,4,7,2,7,5,3
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,X,-6.6636,-77.8006,26.388888888888886,39.98940691187228,70.29947947949306,615.8532409284508,70.4,74.25831600000001,211.60247265810744,AMAZONAS+CHACHAPOYAS+LEIMEBAMBA,-0.6232100175350127,-1.0035735622444257,-0.6466455572340035,0.07415672562614162,0.4916464423325413,0.4970555833522004,-0.015503326077510975,3,4,6,3,8,7,2
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,X,-6.3086,-77.8994,84.84848484848484,39.631719909082726,76.45234932351796,418.12422320150586,68.8,58.918555999999995,185.61484918793502,AMAZONAS+CHACHAPOYAS+LEVANTO,1.2930317797283006,-1.0263215073178995,0.5302472870560587,-0.4675572136914198,0.40417780420456206,-0.41060655242847993,0.24991013254376543,9,4,8,2,7,5,2
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,X,-6.3736,-77.9017,66.66666666666667,53.25512362782992,71.6224137748989,848.5523902039488,78.5,69.36591200000001,217.3913043478261,AMAZONAS+CHACHAPOYAS+MAGDALENA,0.6970516095211365,-0.15990914933196368,-0.39360072690315884,0.7116775825999704,0.9344564228554333,0.20756931604802228,-0.07462507847276684,7,6,7,5,8,7,2
